1;CDU;Christlich Demokratische Union Deutschlands
2;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
3;SPD;Sozialdemokratische Partei Deutschlands
4;AfD;Alternative für Deutschland
5;FDP;Freie Demokratische Partei
6;DIE LINKE;DIE LINKE
7;FREIE WÄHLER;FREIE WÄHLER
8;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
9;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
10;PIRATEN;Piratenpartei Deutschland
11;ÖDP;Ökologisch-Demokratische Partei
12;Verjüngungsforschung;Partei für schulmedizinische Verjüngungsforschung
13;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
14;PdH;Partei der Humanisten
15;ABG;Aktion Bürger für Gerechtigkeit
16;APPD;Anarchistische Pogo-Partei Deutschlands
17;dieBasis;Basisdemokratische Partei Deutschland
18;DKP;Deutsche Kommunistische Partei
19;DIE NEUE MITTE;DIE NEUE MITTE
20;Volt;Volt Deutschland
21;KLIMALISTE WÄHLERL.;Wählerliste Klimaliste Hessen
22;Bündnis C;Bündnis C - Christen für Deutschland
23;WDMR;Bürgerliste Weiterdenken
24;BUNDESPA. KLIMALISTE;Klimaliste Deutschland
25;MERA25;MERA25
26;NEV;Nichtparteigebundene Einwohnervertreter
27;PP;Praktiker Partei
28;SGV;SGV - Solidarität, Gerechtigkeit, Veränderung
29;Solibew;Solidaritätsbewegung
