Landtagswahl 2023; Wahldatum: 2023-10-08; Stand: 08.10.2023 19:01:03
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechnungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;SPD Wahlkreisstimmen;AfD Wahlkreisstimmen;FDP Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Verjüngungsforschung Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;PdH Wahlkreisstimmen;ABG Wahlkreisstimmen;APPD Wahlkreisstimmen;dieBasis Wahlkreisstimmen;DKP Wahlkreisstimmen;DIE NEUE MITTE Wahlkreisstimmen;Volt Wahlkreisstimmen;KLIMALISTE WÄHLERL. Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;WDMR Wahlkreisstimmen;BUNDESPA. KLIMALISTE Wahlkreisstimmen;MERA25 Wahlkreisstimmen;NEV Wahlkreisstimmen;PP Wahlkreisstimmen;SGV Wahlkreisstimmen;Solibew Wahlkreisstimmen;CDU Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Verjüngungsforschung Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);PdH Wahlkreisstimmen (%);ABG Wahlkreisstimmen (%);APPD Wahlkreisstimmen (%);dieBasis Wahlkreisstimmen (%);DKP Wahlkreisstimmen (%);DIE NEUE MITTE Wahlkreisstimmen (%);Volt Wahlkreisstimmen (%);KLIMALISTE WÄHLERL. Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);WDMR Wahlkreisstimmen (%);BUNDESPA. KLIMALISTE Wahlkreisstimmen (%);MERA25 Wahlkreisstimmen (%);NEV Wahlkreisstimmen (%);PP Wahlkreisstimmen (%);SGV Wahlkreisstimmen (%);Solibew Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;GRÜNE Landesstimmen;SPD Landesstimmen;AfD Landesstimmen;FDP Landesstimmen;DIE LINKE Landesstimmen;FREIE WÄHLER Landesstimmen;Tierschutzpartei Landesstimmen;Die PARTEI Landesstimmen;PIRATEN Landesstimmen;ÖDP Landesstimmen;Verjüngungsforschung Landesstimmen;V-Partei³ Landesstimmen;PdH Landesstimmen;ABG Landesstimmen;APPD Landesstimmen;dieBasis Landesstimmen;DKP Landesstimmen;DIE NEUE MITTE Landesstimmen;Volt Landesstimmen;KLIMALISTE WÄHLERL. Landesstimmen;Bündnis C Landesstimmen;WDMR Landesstimmen;BUNDESPA. KLIMALISTE Landesstimmen;MERA25 Landesstimmen;NEV Landesstimmen;PP Landesstimmen;SGV Landesstimmen;Solibew Landesstimmen;CDU Landesstimmen (%);GRÜNE Landesstimmen (%);SPD Landesstimmen (%);AfD Landesstimmen (%);FDP Landesstimmen (%);DIE LINKE Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);Tierschutzpartei Landesstimmen (%);Die PARTEI Landesstimmen (%);PIRATEN Landesstimmen (%);ÖDP Landesstimmen (%);Verjüngungsforschung Landesstimmen (%);V-Partei³ Landesstimmen (%);PdH Landesstimmen (%);ABG Landesstimmen (%);APPD Landesstimmen (%);dieBasis Landesstimmen (%);DKP Landesstimmen (%);DIE NEUE MITTE Landesstimmen (%);Volt Landesstimmen (%);KLIMALISTE WÄHLERL. Landesstimmen (%);Bündnis C Landesstimmen (%);WDMR Landesstimmen (%);BUNDESPA. KLIMALISTE Landesstimmen (%);MERA25 Landesstimmen (%);NEV Landesstimmen (%);PP Landesstimmen (%);SGV Landesstimmen (%);Solibew Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
00000000000;"Hessen";"LD";;"";298976;228678;68749;1549;150488;14325;50,3;2;3189;147299;2,1;97,9;53580;14160;26996;32477;6741;3927;8196;129;498;61;;;4;11;16;1;199;1;;174;;15;11;13;0;35;49;1;4;36,4;9,6;18,3;22,0;4,6;2,7;5,6;0,1;0,3;0,0;;;0,0;0,0;0,0;0,0;0,1;0,0;;0,1;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2977;147511;2,0;98,0;52007;15114;22665;34475;6477;3646;6435;2195;1080;406;263;73;416;160;246;96;730;95;63;653;216;;;;;;;;;35,3;10,2;15,4;23,4;4,4;2,5;4,4;1,5;0,7;0,3;0,2;0,0;0,3;0,1;0,2;0,1;0,5;0,1;0,0;0,4;0,1;;;;;;;;;"";"";"";"";6906;860;2023-10-08 19:01:04;0;;"";
00100000000;"Kassel-Land I";"WK";;"";11234;7421;2350;1463;4723;4;42,0;2;97;4626;2,1;97,9;1421;357;1279;1003;151;120;273;;;;;;;;;;22;;;;;;;;;;;;;30,7;7,7;27,6;21,7;3,3;2,6;5,9;;;;;;;;;;0,5;;;;;;;;;;;;;92;4631;1,9;98,1;1464;405;996;1079;154;106;212;78;19;30;11;1;19;3;9;4;27;2;0;8;4;;;;;;;;;31,6;8,7;21,5;23,3;3,3;2,3;4,6;1,7;0,4;0,6;0,2;0,0;0,4;0,1;0,2;0,1;0,6;0,0;0,0;0,2;0,1;;;;;;;;;"";"";"";"";134;23;2023-10-08 19:00:21;0;;"";
00200000000;"Kassel-Land II";"WK";;"";1119;810;309;0;1107;602;98,9;2;21;1086;1,9;98,1;271;87;367;228;39;38;51;;;;;;;;;;5;;;;;;;;;;;;;25,0;8,0;33,8;21,0;3,6;3,5;4,7;;;;;;;;;;0,5;;;;;;;;;;;;;19;1088;1,7;98,3;296;79;313;242;39;35;40;18;4;2;3;1;3;0;3;0;4;1;0;2;3;;;;;;;;;27,2;7,3;28,8;22,2;3,6;3,2;3,7;1,7;0,4;0,2;0,3;0,1;0,3;0,0;0,3;0,0;0,4;0,1;0,0;0,2;0,3;;;;;;;;;"";"";"";"";111;4;2023-10-08 18:59:47;0;;"";
00300000000;"Kassel-Stadt I";"WK";;"";3818;2717;1101;0;2341;750;61,3;2;31;2310;1,3;98,7;538;690;439;276;74;205;73;;;;;;;;;;9;;;;;;;4;;;;;2;23,3;29,9;19,0;11,9;3,2;8,9;3,2;;;;;;;;;;0,4;;;;;;;0,2;;;;;0,1;24;2317;1,0;99,0;546;614;405;277;86;217;52;30;16;4;9;3;5;7;4;3;7;5;0;20;7;;;;;;;;;23,6;26,5;17,5;12,0;3,7;9,4;2,2;1,3;0,7;0,2;0,4;0,1;0,2;0,3;0,2;0,1;0,3;0,2;0,0;0,9;0,3;;;;;;;;;"";"";"";"";127;8;2023-10-08 19:00:27;0;;"";
00400000000;"Kassel-Stadt II";"WK";;"";1592;1391;201;0;826;417;51,9;2;16;810;1,9;98,1;144;174;162;137;30;129;22;;;;;;4;;;;6;;;;;;;;;;;;2;17,8;21,5;20,0;16,9;3,7;15,9;2,7;;;;;;0,5;;;;0,7;;;;;;;;;;;;0,2;9;817;1,1;98,9;134;152;169;137;32;98;15;25;18;3;2;2;4;1;1;1;7;5;1;9;1;;;;;;;;;16,4;18,6;20,7;16,8;3,9;12,0;1,8;3,1;2,2;0,4;0,2;0,2;0,5;0,1;0,1;0,1;0,9;0,6;0,1;1,1;0,1;;;;;;;;;"";"";"";"";115;4;2023-10-08 19:00:55;0;;"";
00500000000;"Waldeck-Frankenberg I";"WK";;"";18814;14623;4191;0;11098;1851;59,0;2;207;10891;1,9;98,1;4453;795;1999;2044;858;168;506;;;;;;;;;;68;;;;;;;;;;;;;40,9;7,3;18,4;18,8;7,9;1,5;4,6;;;;;;;;;;0,6;;;;;;;;;;;;;178;10920;1,6;98,4;4230;971;1713;2239;693;172;500;155;43;27;9;5;18;8;15;10;77;4;3;18;10;;;;;;;;;38,7;8,9;15,7;20,5;6,3;1,6;4,6;1,4;0,4;0,2;0,1;0,0;0,2;0,1;0,1;0,1;0,7;0,0;0,0;0,2;0,1;;;;;;;;;"";"";"";"";149;67;2023-10-08 19:00:58;0;;"";
00600000000;"Waldeck-Frankenberg II";"WK";;"";8266;6580;1686;0;4302;144;52,0;2;87;4215;2,0;98,0;1568;294;825;943;281;90;187;;;;;;;;;;27;;;;;;;;;;;;;37,2;7,0;19,6;22,4;6,7;2,1;4,4;;;;;;;;;;0,6;;;;;;;;;;;;;79;4223;1,8;98,2;1572;343;673;1003;224;72;163;54;32;12;8;0;6;4;5;1;30;1;3;3;14;;;;;;;;;37,2;8,1;15,9;23,8;5,3;1,7;3,9;1,3;0,8;0,3;0,2;0,0;0,1;0,1;0,1;0,0;0,7;0,0;0,1;0,1;0,3;;;;;;;;;"";"";"";"";146;27;2023-10-08 19:01:04;0;;"";
00700000000;"Schwalm-Eder I";"WK";;"";8848;6595;2253;0;4970;444;56,2;2;119;4851;2,4;97,6;1314;387;1227;1125;312;160;326;;;;;;;;;;;;;;;;;;;;;;;27,1;8,0;25,3;23,2;6,4;3,3;6,7;;;;;;;;;;;;;;;;;;;;;;;122;4848;2,5;97,5;1361;385;1091;1168;266;137;251;75;32;13;10;4;14;6;4;2;13;2;2;7;5;;;;;;;;;28,1;7,9;22,5;24,1;5,5;2,8;5,2;1,5;0,7;0,3;0,2;0,1;0,3;0,1;0,1;0,0;0,3;0,0;0,0;0,1;0,1;;;;;;;;;"";"";"";"";142;37;2023-10-08 19:00:29;0;;"";
00800000000;"Schwalm-Eder II";"WK";;"";12536;9687;2849;0;6609;31;52,7;2;203;6406;3,1;96,9;2097;478;1336;1508;450;123;414;;;;;;;;;;;;;;;;;;;;;;;32,7;7,5;20,9;23,5;7,0;1,9;6,5;;;;;;;;;;;;;;;;;;;;;;;180;6429;2,7;97,3;2136;487;1187;1605;312;107;354;83;37;8;4;6;17;8;15;6;25;8;2;12;10;;;;;;;;;33,2;7,6;18,5;25,0;4,9;1,7;5,5;1,3;0,6;0,1;0,1;0,1;0,3;0,1;0,2;0,1;0,4;0,1;0,0;0,2;0,2;;;;;;;;;"";"";"";"";178;56;2023-10-08 19:00:49;0;;"";
00900000000;"Eschwege-Witzenhausen";"WK";;"";5403;4044;1359;0;2601;4;48,1;2;76;2525;2,9;97,1;675;265;614;597;81;87;159;;47;;;;;;;;;;;;;;;;;;;;;26,7;10,5;24,3;23,6;3,2;3,4;6,3;;1,9;;;;;;;;;;;;;;;;;;;;;87;2514;3,3;96,7;717;260;512;609;90;87;136;27;30;7;6;0;8;1;4;3;6;4;2;2;3;;;;;;;;;28,5;10,3;20,4;24,2;3,6;3,5;5,4;1,1;1,2;0,3;0,2;0,0;0,3;0,0;0,2;0,1;0,2;0,2;0,1;0,1;0,1;;;;;;;;;"";"";"";"";127;22;2023-10-08 19:01:01;0;;"";
