Landtagswahl JJJJ; Wahldatum: JJJJ-MM-TT; Stand: 03.07.2023 13:15:10
Gebietsschlüssel;Gebietsbezeichnung;Gebietstyp;Wahlbezirksnummer;Wahllokal;Wahlberechtigte;Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Wahlberechtigte nach §12a(2) LWO;Wählerinnen und Wähler;Wählerinnen und Wähler mit Wahlschein;Wahlbeteiligung;Berechungsmethode;ungültige Wahlkreisstimmen;gültige Wahlkreisstimmen;ungültige Wahlkreisstimmen (%);gültige Wahlkreisstimmen (%);CDU Wahlkreisstimmen;SPD Wahlkreisstimmen;GRÜNE Wahlkreisstimmen;DIE LINKE Wahlkreisstimmen;FDP Wahlkreisstimmen;AfD Wahlkreisstimmen;PIRATEN Wahlkreisstimmen;FREIE WÄHLER Wahlkreisstimmen;NPD Wahlkreisstimmen;Die PARTEI Wahlkreisstimmen;ÖDP Wahlkreisstimmen;Graue Panther Wahlkreisstimmen;BüSo Wahlkreisstimmen;AD-Demokraten Wahlkreisstimmen;Bündnis C Wahlkreisstimmen;BGE Wahlkreisstimmen;DIE VIOLETTEN Wahlkreisstimmen;LKR Wahlkreisstimmen;MENSCHLICHE WELT Wahlkreisstimmen;Die Humanisten Wahlkreisstimmen;Gesundheitsforschung Wahlkreisstimmen;Tierschutzpartei Wahlkreisstimmen;V-Partei³ Wahlkreisstimmen;APPD (WK 13) Wahlkreisstimmen;DiB (WK 3) Wahlkreisstimmen;NEV (WK 44) Wahlkreisstimmen;ÖkoLinX He (WK 22) Wahlkreisstimmen;CDU Wahlkreisstimmen (%);SPD Wahlkreisstimmen (%);GRÜNE Wahlkreisstimmen (%);DIE LINKE Wahlkreisstimmen (%);FDP Wahlkreisstimmen (%);AfD Wahlkreisstimmen (%);PIRATEN Wahlkreisstimmen (%);FREIE WÄHLER Wahlkreisstimmen (%);NPD Wahlkreisstimmen (%);Die PARTEI Wahlkreisstimmen (%);ÖDP Wahlkreisstimmen (%);Graue Panther Wahlkreisstimmen (%);BüSo Wahlkreisstimmen (%);AD-Demokraten Wahlkreisstimmen (%);Bündnis C Wahlkreisstimmen (%);BGE Wahlkreisstimmen (%);DIE VIOLETTEN Wahlkreisstimmen (%);LKR Wahlkreisstimmen (%);MENSCHLICHE WELT Wahlkreisstimmen (%);Die Humanisten Wahlkreisstimmen (%);Gesundheitsforschung Wahlkreisstimmen (%);Tierschutzpartei Wahlkreisstimmen (%);V-Partei³ Wahlkreisstimmen (%);APPD (WK 13) Wahlkreisstimmen (%);DiB (WK 3) Wahlkreisstimmen (%);NEV (WK 44) Wahlkreisstimmen (%);ÖkoLinX He (WK 22) Wahlkreisstimmen (%);ungültige Landesstimmen;gültige Landesstimmen;ungültige Landesstimmen (%);gültige Landesstimmen (%);CDU Landesstimmen;SPD Landesstimmen;GRÜNE Landesstimmen;DIE LINKE Landesstimmen;FDP Landesstimmen;AfD Landesstimmen;PIRATEN Landesstimmen;FREIE WÄHLER Landesstimmen;NPD Landesstimmen;Die PARTEI Landesstimmen;ÖDP Landesstimmen;Graue Panther Landesstimmen;BüSo Landesstimmen;AD-Demokraten Landesstimmen;Bündnis C Landesstimmen;BGE Landesstimmen;DIE VIOLETTEN Landesstimmen;LKR Landesstimmen;MENSCHLICHE WELT Landesstimmen;Die Humanisten Landesstimmen;Gesundheitsforschung Landesstimmen;Tierschutzpartei Landesstimmen;V-Partei³ Landesstimmen;APPD (WK 13) Landesstimmen;DiB (WK 3) Landesstimmen;NEV (WK 44) Landesstimmen;ÖkoLinX He (WK 22) Landesstimmen;CDU Landesstimmen (%);SPD Landesstimmen (%);GRÜNE Landesstimmen (%);DIE LINKE Landesstimmen (%);FDP Landesstimmen (%);AfD Landesstimmen (%);PIRATEN Landesstimmen (%);FREIE WÄHLER Landesstimmen (%);NPD Landesstimmen (%);Die PARTEI Landesstimmen (%);ÖDP Landesstimmen (%);Graue Panther Landesstimmen (%);BüSo Landesstimmen (%);AD-Demokraten Landesstimmen (%);Bündnis C Landesstimmen (%);BGE Landesstimmen (%);DIE VIOLETTEN Landesstimmen (%);LKR Landesstimmen (%);MENSCHLICHE WELT Landesstimmen (%);Die Humanisten Landesstimmen (%);Gesundheitsforschung Landesstimmen (%);Tierschutzpartei Landesstimmen (%);V-Partei³ Landesstimmen (%);APPD (WK 13) Landesstimmen (%);DiB (WK 3) Landesstimmen (%);NEV (WK 44) Landesstimmen (%);ÖkoLinX He (WK 22) Landesstimmen (%);Wahlkreis gewonnen: Name;Wahlkreis gewonnen: Vorname;Wahlkreis gewonnen: Titel;Wahlkreis gewonnen: Wahlvorschlag;Anzahl Wahlbezirke;Anzahl Wahlbezirke ausgezählt;Letzte Änderung;freigegeben;Nummer aufnehmender Wahlbezirk;Name aufnehmender Wahlbezirk;Aufnahme Wahlbezirk
00000000000;"Hessen";"LD";;"";4372788;3603649;769136;3;2942846;717932;67,3;2;69776;2873070;2,4;97,6;843068;670637;517904;164535;205384;362210;3818;88122;;12007;3232;;;;;;373;139;74;;;471;145;94;168;643;46;29,3;23,3;18,0;5,7;7,1;12,6;0,1;3,1;;0,4;0,1;;;;;;0,0;0,0;0,0;;;0,0;0,0;0,0;0,0;0,0;0,0;61585;2881261;2,1;97,9;776910;570446;570512;181332;215946;378692;11617;85465;6173;18334;7539;4870;425;2971;3789;3031;2403;1340;1600;2646;3572;28095;3553;;;;;27,0;19,8;19,8;6,3;7,5;13,1;0,4;3,0;0,2;0,6;0,3;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,1;0,1;0,1;1,0;0,1;;;;;"";"";"";"";6460;6460;2022-10-04 10:35:19;1;;"";
00100000000;"Kassel-Land I";"WK";;"";90524;74975;15549;0;61427;14640;67,9;2;1736;59691;2,8;97,2;14520;19958;8032;2754;3639;7292;;3496;;;;;;;;;;;;;;;;;;;;24,3;33,4;13,5;4,6;6,1;12,2;;5,9;;;;;;;;;;;;;;;;;;;;1622;59805;2,6;97,4;14172;17444;9150;3184;3916;7767;212;2552;86;270;70;94;5;26;32;57;29;17;19;32;72;549;50;;;;;23,7;29,2;15,3;5,3;6,5;13,0;0,4;4,3;0,1;0,5;0,1;0,2;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,1;0,1;0,9;0,1;;;;;"Ulloth";"Oliver";"";"SPD";141;141;2022-10-04 10:35:19;1;;"";
00200000000;"Kassel-Land II";"WK";;"";95770;79254;16516;0;65457;15480;68,3;2;1999;63458;3,1;96,9;14887;23564;9405;3711;3935;7956;;;;;;;;;;;;;;;;;;;;;;23,5;37,1;14,8;5,8;6,2;12,5;;;;;;;;;;;;;;;;;;;;;;1795;63662;2,7;97,3;14000;19997;10777;3612;3824;8122;252;1506;64;247;71;107;3;83;72;52;35;25;29;32;81;621;50;;;;;22,0;31,4;16,9;5,7;6,0;12,8;0,4;2,4;0,1;0,4;0,1;0,2;0,0;0,1;0,1;0,1;0,1;0,0;0,0;0,1;0,1;1,0;0,1;;;;;"Strube";"Manuela";"";"SPD";118;118;2022-10-04 10:35:19;1;;"";
00300000000;"Kassel-Stadt I";"WK";;"";70982;57724;13258;0;48889;12399;68,9;2;918;47971;1,9;98,1;10472;11179;12832;4660;2564;4152;381;1109;;454;;;;;;;;;;;;;;;168;;;21,8;23,3;26,7;9,7;5,3;8,7;0,8;2,3;;0,9;;;;;;;;;;;;;;;0,4;;;810;48079;1,7;98,3;9808;9813;13563;5295;2854;4323;266;844;36;309;132;60;9;79;62;95;29;16;28;41;33;319;65;;;;;20,4;20,4;28,2;11,0;5,9;9,0;0,6;1,8;0,1;0,6;0,3;0,1;0,0;0,2;0,1;0,2;0,1;0,0;0,1;0,1;0,1;0,7;0,1;;;;;"Gronemann";"Vanessa";"";"GRÜNE";108;108;2022-10-04 10:35:19;1;;"";
00400000000;"Kassel-Stadt II";"WK";;"";68040;58683;9357;0;37614;8679;55,3;2;960;36654;2,6;97,4;6698;9753;7519;4349;1806;4565;427;1023;;514;;;;;;;;;;;;;;;;;;18,3;26,6;20,5;11,9;4,9;12,5;1,2;2,8;;1,4;;;;;;;;;;;;;;;;;;908;36706;2,4;97,6;6665;8296;7866;4584;1989;4709;314;832;51;341;122;72;5;177;64;83;31;10;25;50;45;316;59;;;;;18,2;22,6;21,4;12,5;5,4;12,8;0,9;2,3;0,1;0,9;0,3;0,2;0,0;0,5;0,2;0,2;0,1;0,0;0,1;0,1;0,1;0,9;0,2;;;;;"Decker";"Wolfgang";"";"SPD";95;95;2022-10-04 10:35:19;1;;"";
00500000000;"Waldeck-Frankenberg I";"WK";;"";61702;51458;10244;0;40071;9523;64,9;2;963;39108;2,4;97,6;13480;9135;5395;1393;3820;4618;;1267;;;;;;;;;;;;;;;;;;;;34,5;23,4;13,8;3,6;9,8;11,8;;3,2;;;;;;;;;;;;;;;;;;;;948;39123;2,4;97,6;11886;8608;6518;1692;3367;4935;138;1236;49;130;34;34;2;6;29;33;15;11;20;13;49;293;25;;;;;30,4;22,0;16,7;4,3;8,6;12,6;0,4;3,2;0,1;0,3;0,1;0,1;0,0;0,0;0,1;0,1;0,0;0,0;0,1;0,0;0,1;0,7;0,1;;;;;"Schwarz";"Armin";"";"CDU";130;130;2022-10-04 10:35:19;1;;"";
00600000000;"Waldeck-Frankenberg II";"WK";;"";60971;52890;8081;0;38570;7620;63,3;2;833;37737;2,2;97,8;11669;10473;5180;1539;2488;5143;;1245;;;;;;;;;;;;;;;;;;;;30,9;27,8;13,7;4,1;6,6;13,6;;3,3;;;;;;;;;;;;;;;;;;;;920;37650;2,4;97,6;10768;8575;6204;1740;2865;5468;175;1050;67;158;57;50;2;22;27;31;14;9;22;10;50;251;35;;;;;28,6;22,8;16,5;4,6;7,6;14,5;0,5;2,8;0,2;0,4;0,2;0,1;0,0;0,1;0,1;0,1;0,0;0,0;0,1;0,0;0,1;0,7;0,1;;;;;"Ravensburg";"Claudia";"";"CDU";131;131;2022-10-04 10:35:19;1;;"";
00700000000;"Schwalm-Eder I";"WK";;"";70812;58737;12075;0;50010;10286;70,6;2;1519;48491;3,0;97,0;11781;15896;6627;2124;3289;5849;;2925;;;;;;;;;;;;;;;;;;;;24,3;32,8;13,7;4,4;6,8;12,1;;6,0;;;;;;;;;;;;;;;;;;;;1481;48529;3,0;97,0;10997;14105;7952;2326;3336;6157;217;2218;77;211;60;80;4;23;54;56;34;16;14;19;79;456;38;;;;;22,7;29,1;16,4;4,8;6,9;12,7;0,4;4,6;0,2;0,4;0,1;0,2;0,0;0,0;0,1;0,1;0,1;0,0;0,0;0,0;0,2;0,9;0,1;;;;;"Rudolph";"Günter";"";"SPD";139;139;2022-10-04 10:35:19;1;;"";
00800000000;"Schwalm-Eder II";"WK";;"";71320;60004;11316;0;47915;10637;67,2;2;1549;46366;3,2;96,8;11728;13554;5058;2021;3744;7333;;2928;;;;;;;;;;;;;;;;;;;;25,3;29,2;10,9;4,4;8,1;15,8;;6,3;;;;;;;;;;;;;;;;;;;;1424;46491;3,0;97,0;11074;12132;6288;2044;3294;7760;196;2528;128;213;32;54;8;7;45;32;41;19;33;13;76;409;65;;;;;23,8;26,1;13,5;4,4;7,1;16,7;0,4;5,4;0,3;0,5;0,1;0,1;0,0;0,0;0,1;0,1;0,1;0,0;0,1;0,0;0,2;0,9;0,1;;;;;"Müller";"Regine";"";"SPD";183;183;2022-10-04 10:35:19;1;;"";
00900000000;"Eschwege-Witzenhausen";"WK";;"";60432;49496;10936;0;39034;10181;64,6;2;1129;37905;2,9;97,1;9943;11212;5801;2149;2008;4513;;2279;;;;;;;;;;;;;;;;;;;;26,2;29,6;15,3;5,7;5,3;11,9;;6,0;;;;;;;;;;;;;;;;;;;;1085;37949;2,8;97,2;9322;10069;6479;2272;2191;4757;121;1837;48;184;73;41;2;10;21;63;22;13;16;19;43;305;41;;;;;24,6;26,5;17,1;6,0;5,8;12,5;0,3;4,8;0,1;0,5;0,2;0,1;0,0;0,0;0,1;0,2;0,1;0,0;0,0;0,1;0,1;0,8;0,1;;;;;"John";"Knut";"";"SPD";121;121;2022-10-04 10:35:19;1;;"";
