partei,stimmen,prozent,wk
CDU,1327,"18,0 (+0,1)",49
GRÜNE,2308,"31,3 (+0,1)",49
SPD,1286,"17,4 (+0,1)",49
AfD,649,"8,8 (+0,0)",49
FDP,487,"6,6 (+0,0)",49
DIE LINKE,875,"11,9 (+0,0)",49
FREIE WÄHLER,114,"1,5 (+0,0)",49
Tierschutzpartei,58,"0,8 (-0,0)",49
Die PARTEI,87,"1,2 (-0,0)",49
PIRATEN,63,"0,9 (-0,0)",49
ÖDP,43,"0,6 (-0,0)",49
Verjüngungsforschung,0,"0,0 (+0,0)",49
V-Partei³,0,"0,0 (+0,0)",49
PdH,0,"0,0 (+0,0)",49
ABG,0,"0,0 (+0,0)",49
APPD,0,"0,0 (+0,0)",49
dieBasis,0,"0,0 (+0,0)",49
DKP,0,"0,0 (+0,0)",49
DIE NEUE MITTE,0,"0,0 (+0,0)",49
Volt,0,"0,0 (+0,0)",49
BUNDESPA. KLIMALISTE,0,"0,0 (+0,0)",49
